x1,x2,Class
0.357216225,0.347454754,-1
0.300338293,1.170528638,1
0.821595692,-0.168607541,1
-0.517150975,0.240789662,-1
0.597399281,-0.129203765,-1
-0.418105957,0.970705475,1
-0.23929805,0.450586842,-1
-0.454534788,0.724181255,1
-0.106549187,0.756092309,-1
-0.493774788,0.90773755,1
0.230763896,0.482269231,-1
-0.854219322,-0.846997952,-1
-0.970465578,-1.133605868,-1
-0.716494735,-0.455725271,-1
0.375874212,1.044901084,1
-0.590439383,-0.109600356,-1
0.6909166,-0.174686936,-1
0.786987454,0.012859599,1
-0.369506601,1.155671795,1
0.046079425,0.810929501,-1
0.414845001,0.510742586,-1
0.993960657,-1.191147941,-1
-0.815623103,0.04289709,1
0.299189721,1.124018133,1
0.311329867,1.107664059,1
0.893247362,-0.917799317,-1
-0.604718945,0.111232162,-1
-0.063653141,1.46537451,1
0.085581101,1.218217767,1
-0.447572322,0.720599167,1
-0.653097159,0.503480786,1
-0.348481228,0.386954711,-1
0.355905944,0.953573186,1
0.60477678,0.001357534,-1
0.10797895,0.659791441,-1
0.330335785,0.401569014,-1
-0.786730442,0.159188433,1
-0.753054099,-0.367363206,-1
-0.330893571,1.017311803,1
-0.787157186,-0.552894931,-1
0.184622671,1.047735218,1
0.377497487,0.420156851,-1
-0.592376343,0.56138632,1
0.948204755,-1.228725489,-1
0.02145024,0.499597499,-1
0.68241915,-0.139235445,-1
0.520402313,-0.035698728,-1
-0.581929764,-0.149214652,-1
0.120684263,1.380259623,1
0.642318787,-0.290028874,-1
